qid,query,answer
1,What are the most common chronic diseases? What effects do chronic diseases have for the society and the individual?,
8,best apps daily activity exercise diabetes,
22,my risk for developing type 2 diabetes,
35,Is a ketogenic / keto diet suitable for people with diabetes?,
45,Can diabetes be cured?,
51,What is holistic medicine and what does it include?,
52,What are the most common mental health problems? How can I prevent or manage the most common mental health problems?,
53,what is psychotherapy?,
54,What does multiple sclerosis diagnosis include? What does it change?,
55,How to manage multiple sclerosis?,
57,multiple sclerosis stages phases,
58,Risk to develop multiple sclerosis,
59,long-term effects likelihood multiple sclerosis,
62,"disclosing multiple sclerosis at work, how will colleagues react?",
63,Will multiple sclerosis affect my career?,
68,List of multiple sclerosis symptoms,
72,Is the Covid-19 vaccine safe for people taking multiple sclerosis drugs?,
77,How do menopause symptoms relate to multiple sclerosis symptoms?,
79,Can I pass multiple sclerosis to other family members?,
81,Can I work and study full-time with multiple sclerosis?,
83,Why get episode diagnosed by a doctor as a relapse of multiple sclerosis?,
85,Relapsing remitting multiple sclerosis,
86,Secondary progressive multiple sclerosis,
92,causes of fatigue in MS,
93,Does multiple sclerosis relate to sleeping problems and forgetfulness in older people?,
94,When will I start to feel better with multiple sclerosis?,
95,Reading problems in MS,
96,most efficient and sustainable diets,
97,benefits of physical activity,
98,most common complications in pregnancy,
101,heavy flares swelling lymph nodes,
102,randomly gotten eczema,
105,wisdom tooth cuts gum pain,
107,medication adhd anxiety,
108,chronic diarrhea short-term memory sweating inability to regulate body temperature heart palpitations dysautonomia,
109,ehlers danlos syndrome POTS nausea stomach pain,
112,symptoms of asthma,
113,asthma and covid,
114,borderline personality disorder symptoms,
116,outcome prostate cancer,
117,stage 4 metastatic lung cancer outcome,
118,stage 4 triple negative breast cancer treatment,
119,best pillow neck pain,
121,numb fingers arthritis,
123,hypothyroidism symptoms,
126,birth control suppression antral follicle count,
127,glasses for computer,
130,neck and shoulder stretches,
131,exercises for better posture,
132,headpats scalp psoriasis,
133,"psoriasis psoariatic arthritis, lump in armpit",
141,sores in mouth herpes,
146,canker sores syphilis,
147,best supplements creatine,
150,fish oil supplement dosage,
