docid	readability_score_transformer	flesch_reading_ease	text_standard
44f906a1-f818-4d48-a3fb-1673ebdeff13	-2.377218246459961	41.09	13.0
334ed241-6337-41ce-884c-2755648e14ea	-2.3882575035095215	48.03	13.0
391b9de2-26dc-4187-b7ea-461153352e12	-2.33837890625	38.35	14.0
461b6eb2-2b79-4fec-bf6b-63e302a093d9	-2.33837890625	38.35	14.0
4e151d9e-a3fc-4e21-b5db-7b8ad4ea9d23	-2.2088541984558105	50.57	11.0
6046d2f6-7dae-4f81-a024-3c1e7f75a205	-1.9770318269729614	53.71	10.0
75a67ad2-5d9b-4264-9add-0c924a04fca7	-1.936493992805481	51.07	13.0
95d39539-8119-4ce7-8e62-e4ebbf1d3a53	-2.0078177452087402	36.52	15.0
d16874bc-9c85-496e-beb8-4bdad423d53e	-2.05184006690979	41.03	15.0
4bc7e5d6-46e0-41d3-9728-18f6c1682e14	-1.959436297416687	56.49	12.0
2703f0f5-8f04-4032-acd2-e5f737777963	-2.0078177452087402	36.52	15.0
90cbe65d-040c-40eb-a458-e89ec697cee1	-1.9333146810531616	44.37	14.0
833dc2f9-83a7-438d-870a-f773c932e724	-2.0156729221343994	44.48	14.0
48a5aa90-3d86-40df-8d87-0f0d4937cfde	-2.346179246902466	76.01	9.0
17a9cf97-959e-4b06-b927-e6e17d363ffb	-2.346179246902466	76.01	9.0
452fee16-7587-4f9d-8fb3-d20ba1cd42fe	-2.459916591644287	27.93	15.0
a52c53b8-c478-45bf-bec8-b228011a3c95	-2.346179246902466	76.01	9.0
abe38647-7f81-425b-8c4e-49b22d2adef6	-2.346179246902466	76.01	9.0
df90fa06-94f5-438a-9982-035e4f0a955c	-2.346179246902466	76.01	9.0
94d13141-fe0f-40e6-9140-896d05e5a692	-2.4946703910827637	50.26	11.0
9011f2b2-de25-4f1e-9e31-353b588901bc	-2.2017173767089844	49.15	12.0
b0d6247a-f3cd-4d60-bd97-83e44259abff	-2.2975311279296875	59.94	10.0
85fe09ec-1892-46d2-b1e1-2f639e128472	-2.4511213302612305	55.54	11.0
ee45a228-33fa-4cd6-ac94-e761a6046188	-2.139780282974243	61.16	11.0
88a9abe7-e6c7-412c-b3f5-e0b5be2e5389	-2.220907211303711	71.85	10.0
1ab56a91-f0fa-4626-9ce1-0b9c7ede7e3f	-1.9947291612625122	72.87	10.0
1b7faab4-f0f7-458d-89c6-0bc8407b6202	-2.851825714111328	37.44	14.0
3a523d2b-89d1-4dfc-8b38-ac5621bb8ffa	-2.8422865867614746	48.2	13.0
cd0dbfd4-fc67-4f6b-95af-71bbf893db0d	-2.8440768718719482	45.15	15.0
7264f938-81ef-4945-836e-77dd79b79fc4	-2.830021381378174	37.5	16.0
c056f7b0-878a-4750-9a84-0e19f9225112	-2.838860034942627	43.83	12.0
c5dfc251-8867-4e83-86f0-694ea96743b5	-2.8358914852142334	43.83	16.0
16563463-5768-403f-8d17-0def43ed5015	-2.824739933013916	51.07	14.0
2c4cc5fb-2c50-4ef4-bf60-a0ce988dde64	-2.8255748748779297	43.63	16.0
6d44efe0-1742-4ec0-acdb-f7e6a6f683b6	-2.7343521118164062	44.64	15.0
c0fce326-5b8d-4fe3-8159-52fba6a0971c	-2.8276376724243164	44.03	12.0
381decdd-e710-4a1e-8ede-157233aa4971	-2.838860034942627	43.83	12.0
53ed2552-5b36-4a68-8820-5c3604840d35	-2.8262946605682373	43.93	16.0
f0a97272-e575-47ed-b649-5c91f01d5d7b	-2.843104124069214	44.14	12.0
bef578e4-daaa-46df-baad-89bc2af6895a	-2.7523396015167236	44.85	15.0
2373beed-1f83-4cbb-9d40-07234dc46a4a	-2.690974712371826	26.81	16.0
14bb5900-fd70-4bab-bbd4-797a8e514b06	-2.839841604232788	43.63	12.0
b6e142cc-8972-4561-99c5-3a7e902c2ab4	-2.817577838897705	49.01	13.0
1285db10-3cd3-466d-8347-df86c4749be0	-2.8199167251586914	43.53	16.0
20284655-d87e-4a6b-98ba-605848670009	-2.5359625816345215	65.96	11.0
7bb9a5ca-7666-4bd8-957f-3ed7b2356a01	-2.1925339698791504	65.86	12.0
812e0336-7233-4286-908e-fd00e35724f5	-2.366137742996216	43.26	16.0
ca3bd9f0-81cb-457f-bd90-ac9c517f5ed2	-2.257298469543457	65.96	9.0
c70b3798-33fc-4fb9-9c8b-375d9c673aec	-2.1903469562530518	52.49	13.0
7207aea3-d653-444d-aae4-f89c8848638e	-2.021862506866455	52.09	13.0
b57a4603-a5f8-4110-8cc1-1077fa2bb8a8	-2.078810930252075	61.5	11.0
1c0eeeaf-5114-4bdc-bd56-30f811959851	-2.145890951156616	66.17	10.0
b5002937-d621-44d4-b19d-97cc5389970e	-2.224778413772583	66.57	12.0
500c4c40-1b95-4c2b-8119-a7e55eec3d21	-1.8633545637130737	65.15	11.0
49786ccb-6d5c-42ae-a8b2-8b8ba4882799	-1.9554845094680786	77.06	8.0
2b2697ca-def2-484f-aa23-57491f6d8b49	-2.271941661834717	67.89	9.0
3a0672d4-6b72-441d-a1c1-f9f66ce5cc9c	-1.8857834339141846	66.47	9.0
27062b3a-da4f-4e04-ba06-a9b2c9e37b5c	-2.338987350463867	67.59	9.0
885f56f8-bf64-447c-a616-58093d75a054	-2.408113956451416	54.56	12.0
17f9dfd0-2fb3-44f1-9cfa-fe3c3634e720	-1.965612530708313	57.74	9.0
48683479-a008-44b0-9d64-63afdde773f8	-2.2340140342712402	55.17	12.0
a77be433-36e6-4f94-9d08-29f45ded4b8d	-2.074920892715454	65.76	10.0
d7faa990-bfb2-4a69-9053-d3af71ddfa9d	-2.4773597717285156	64.95	12.0
121ac056-5b9e-469e-8df3-b8a01b338032	-2.0787057876586914	54.49	10.0
34442dae-e060-4119-9e7b-f259e5b0bbf1	-1.8624159097671509	59.57	14.0
e6cf7f4e-f159-4051-ba78-504d3d488014	-2.385244369506836	45.8	16.0
8579337a-b65c-4114-a0a8-58e17058ee84	-2.3213248252868652	65.66	8.0
1176e762-b9fd-4b05-974b-9f579bac5ae0	-2.0690484046936035	52.87	15.0
e1ff79a5-765b-4f89-b881-5d7c04f87d90	-2.366137742996216	43.26	16.0
ccceb3f7-5a57-4e67-973a-89269a1f9651	-2.2892701625823975	51.99	11.0
8a357c9a-3af4-4a7b-9d89-f8b8912e2991	-1.9599850177764893	66.98	9.0
26c19d91-d550-40ff-a8ca-3242d4158b0e	-2.7042810916900635	47.93	13.0
f110881b-c2e7-4f81-bc0c-82f554c2e853	-1.8275896310806274	66.07	8.0
21225ae3-1567-43cb-8300-ca2460fbb186	-2.24509596824646	66.98	9.0
83431b25-4600-4682-9fb8-0f761202db5b	-2.136413097381592	63.02	13.0
819d449a-7698-47c1-9967-4c25c61f2cca	-2.3213248252868652	66.57	12.0
8d2b6fb2-fa3c-4c84-bc4c-0b85dcd2d411	-1.9618244171142578	64.24	8.0
42f70e9d-8bde-4118-9a68-a0e0998883b2	-2.051680326461792	66.07	12.0
d6732aa8-3d21-4e34-bd1a-43019cae97ba	-2.0462684631347656	64.95	12.0
2a1b35d6-3b64-424a-be8d-4c76269d9804	-1.8380707502365112	55.1	14.0
d0fc43a8-74fa-4407-90f2-830c7fb447a6	-1.8755110502243042	57.84	10.0
425102f5-94ec-4f00-9286-b14810623be3	-1.8292666673660278	68.5	9.0
b86e0dba-234c-40d0-81c1-87f27e6c9459	-2.2154059410095215	53.65	13.0
dacf8acd-1926-447a-8efe-ae08b3df8e02	-2.2288267612457275	47.35	16.0
39ee7eea-a6b8-430f-878e-6f4dbeca94ab	-2.046448230743408	61.67	12.0
40d22a7d-7859-4af0-a674-d2bc5d23df98	-2.2575454711914062	67.69	9.0
df956400-3b81-41c1-bb3a-af50751bd0b1	-2.136413097381592	66.07	12.0
3a974665-dc0a-4322-a7df-13a8f2fcaedd	-2.416574478149414	46.3	16.0
9e2568b4-7b5c-46da-bfaa-a500af83e93d	-2.275465965270996	67.08	9.0
c8722cb4-1c83-46fd-9619-32dbbcc940db	-2.0726349353790283	48.0	11.0
85ecaa5e-1729-4200-89e2-0da2fafc1a6b	-1.8306101560592651	64.64	8.0
627007a1-172f-40f6-8c1d-5edc9950b262	-2.5874054431915283	15.75	19.0
3387eca7-0eb8-49bd-a4a1-fc148cca0e4b	-2.549912929534912	50.97	12.0
5fb45e7a-132c-4e7c-93c5-801d672dd799	-2.713571548461914	42.21	13.0
7ea5f328-740e-420e-ae52-14489ad93816	-2.378458023071289	62.07	9.0
ab3aeeeb-90f6-40b9-85e4-ba91db4ce972	-2.5171115398406982	48.74	14.0
302d4a7b-f4dd-4c6a-ad7a-c63f044fb447	-2.6244254112243652	26.74	13.0
3e1f5c3a-6907-4b6a-ad40-a216e04428ac	-2.5039234161376953	29.11	18.0
78154eb0-e5c5-4c4d-88bb-24747acb5cd0	-2.6710569858551025	44.95	11.0
34e2aa70-d65b-4e0f-9769-d9dc4abdb380	-2.434877872467041	31.41	15.0
df6ab0ca-3955-4874-96e8-82e089ae25d6	-2.500704050064087	40.38	13.0
6d3dd785-697c-45b6-9738-b33c1e29d9ce	-2.635895252227783	41.6	13.0
1e551ca4-a2b9-4dad-a738-6acfe15ce331	-2.6361618041992188	25.93	17.0
a03a386a-2f4e-4a51-83c2-8c8aee15f7b7	-2.5145998001098633	48.03	15.0
04de0d10-68de-4d1d-972c-848933241241	-2.4787473678588867	48.54	13.0
d7cb07f3-2463-4c05-8e46-dac5ee304164	-2.6087515354156494	35.61	15.0
23aff079-8c01-4b3c-b8ff-bf0e283ce2b8	-2.169156789779663	57.16	8.0
1b02761e-c53d-47bb-beee-772e57f785ff	-2.649735450744629	50.06	13.0
53993502-ad03-45a8-ba0a-6b2eaeea6975	-2.318218946456909	53.24	14.0
a12e32bf-d898-44df-944b-e44585d0a80f	-2.2299723625183105	47.89	11.0
ba72ad13-5ad8-40f4-a83c-4c3743c7fade	-2.447388172149658	60.75	13.0
0c47fdd4-5b85-4ef1-95e9-602037bf7cc4	-2.8090527057647705	-3.79	15.0
973ee0d0-5935-4013-932e-02747ab1d282	-2.37730073928833	50.97	11.0
453e597e-cb53-4fc9-86a7-d9e73b68de1d	-2.1293578147888184	56.05	10.0
63cdefc6-15cf-46a5-9248-82b0cf20cda0	-2.697056770324707	32.9	12.0
365f4731-6ad9-4b54-aed7-c1159eda2b2c	-2.239551544189453	47.99	11.0
bc797c39-3bb2-4c15-ba7e-499ea9a4328e	-2.526182174682617	60.55	12.0
695ec0a4-a1b2-4ad2-91e0-989e60d53f41	-2.1410746574401855	57.16	9.0
0e283e68-7639-41af-8183-7e1d40c04d72	-2.1740236282348633	56.86	8.0
a0a0d7c2-5cc2-408f-bd2d-1ee64912d09b	-2.791144847869873	33.71	12.0
f2aff400-d1c4-4d60-a53d-f8b82c4324fd	-2.460052013397217	21.5	11.0
558b77a5-c99d-42e9-9479-47b33bf60b58	-2.584012031555176	56.15	9.0
45abc458-35d8-4249-a174-e22d1e8c1475	-2.3901894092559814	54.63	13.0
32e91b7c-d092-455c-936e-1e927a02085d	-2.4328558444976807	50.77	14.0
4aa7cd4e-430a-476d-9903-8180f2a0ed7b	-2.528667688369751	47.42	14.0
8c972d54-b934-401a-afed-4695b9d61f95	-2.7397661209106445	59.43	10.0
ba2abaeb-6c98-4578-a349-d2c25f6b5983	-2.764796257019043	1.8	9.0
5c615aac-2089-4755-85cc-e43cd6d25f3f	-2.6417083740234375	32.7	12.0
ac4bafc4-2721-4643-9f88-c6fe1bd4290b	-2.6434309482574463	16.28	10.0
8558a896-91dd-49a4-8fd7-92e868aebd05	-2.266543388366699	56.15	16.0
10d4b2e8-e60b-43b0-a91a-195bf8a53cb0	-2.64884090423584	15.78	14.0
3597e7dc-0ff2-4199-868d-24d0af5f9ccd	-2.0884430408477783	48.81	10.0
96a39c21-3114-4a14-9159-f800d423dc72	-2.507357597351074	48.4	10.0
9a4f9ffd-5e07-4722-8b3a-635f774d8fd6	-2.1410746574401855	57.16	9.0
07fff755-2f28-4bcd-b50c-496ff92e52d3	-2.2082972526550293	47.49	11.0
c0f0ecb3-7c1b-483a-871a-9153da42f8cb	-2.1269493103027344	56.35	10.0
c6dba2bf-a489-4091-9ab6-0d39d3f91c48	-2.1757583618164062	47.99	11.0
98eee4d9-e876-4679-bdbb-aa3df11765df	-2.576143503189087	61.46	11.0
11560cd1-abad-43f9-8875-b58fb0aa6cd4	-2.412578821182251	40.38	13.0
f6756eca-b063-4a52-bce2-c73759a8e5cb	-2.6213207244873047	49.41	11.0
bcb428a0-954a-4e57-b4a0-1a3841652509	-2.7885375022888184	54.26	12.0
e64aa8a2-f5e5-4a3a-980a-eb2e3ec98c42	-2.5601372718811035	50.87	13.0
2d92dff8-2306-45d1-b62c-d41b281c2646	-2.22775936126709	46.57	11.0
68512bf2-1d3c-406c-808b-abf3500d2027	-2.1253418922424316	47.79	15.0
a08ff0f4-5a05-4866-8065-ae70500ece92	-2.807752847671509	8.13	10.0
2b51971b-b32b-46c7-8f30-5ba33624a929	-2.275125026702881	49.52	10.0
9895d8b4-7264-493a-b92a-09024c9db403	-2.4864683151245117	13.14	14.0
52ec30b7-5640-4818-901a-f85a4c7850f8	-1.6055716276168823	54.63	10.0
784e0680-7a02-413c-81de-4738af4a8016	-2.8881378173828125	29.79	17.0
c9eecfcb-e24a-4f0b-aee1-9edc999337b6	-2.914111375808716	-289.17	136.0
0d57c7a2-2512-4cbf-9f64-7e8813678635	-2.410276174545288	32.02	14.0
545aab5c-8232-4cde-94d4-fa384da4878d	-2.762202739715576	31.11	15.0
0998293e-6a30-465c-a25a-fc015e0efb2f	-2.762202739715576	31.11	15.0
02b7646d-6e95-48c1-b2d1-de3bad302c55	-2.417440891265869	42.21	16.0
65f1f7d1-e0bf-482a-8aae-92d76144e849	-2.657817840576172	31.11	15.0
d9c95b25-77b6-4de9-a0b1-a0b69d75d549	-2.4731574058532715	42.82	15.0
89871240-3d6b-4827-822c-83b97e41493d	-2.8550937175750732	30.91	15.0
eb545e30-a8a4-450c-9acc-0334c81896d2	-2.493276596069336	51.07	12.0
57bf92a2-8789-4d72-9c6f-c4e92af005e9	-2.762202739715576	31.11	15.0
