docid	readability_score_transformer	flesch_reading_ease	text_standard
44f906a1-f818-4d48-a3fb-1673ebdeff13	-1.8823779821395874	55.24	10.0
334ed241-6337-41ce-884c-2755648e14ea	-1.881258249282837	61.87	12.0
391b9de2-26dc-4187-b7ea-461153352e12	-1.762163758277893	44.75	12.0
461b6eb2-2b79-4fec-bf6b-63e302a093d9	-1.762163758277893	44.75	12.0
4e151d9e-a3fc-4e21-b5db-7b8ad4ea9d23	-1.6108503341674805	61.87	12.0
6046d2f6-7dae-4f81-a024-3c1e7f75a205	-1.6217060089111328	62.88	12.0
75a67ad2-5d9b-4264-9add-0c924a04fca7	-1.824954867362976	59.94	10.0
95d39539-8119-4ce7-8e62-e4ebbf1d3a53	-1.303571105003357	52.19	11.0
d16874bc-9c85-496e-beb8-4bdad423d53e	-2.1914219856262207	40.69	14.0
4bc7e5d6-46e0-41d3-9728-18f6c1682e14	-1.176235318183899	61.16	10.0
2703f0f5-8f04-4032-acd2-e5f737777963	-1.303571105003357	52.19	11.0
90cbe65d-040c-40eb-a458-e89ec697cee1	-1.2434202432632446	58.92	13.0
833dc2f9-83a7-438d-870a-f773c932e724	-1.5372536182403564	58.32	12.0
48a5aa90-3d86-40df-8d87-0f0d4937cfde	-1.3481171131134033	71.41	6.0
17a9cf97-959e-4b06-b927-e6e17d363ffb	-1.3481171131134033	71.41	6.0
452fee16-7587-4f9d-8fb3-d20ba1cd42fe	-2.2086377143859863	34.67	20.0
a52c53b8-c478-45bf-bec8-b228011a3c95	-1.3481171131134033	71.41	6.0
abe38647-7f81-425b-8c4e-49b22d2adef6	-1.3481171131134033	71.41	6.0
df90fa06-94f5-438a-9982-035e4f0a955c	-1.3481171131134033	71.41	6.0
94d13141-fe0f-40e6-9140-896d05e5a692	-2.3370304107666016	50.77	11.0
9011f2b2-de25-4f1e-9e31-353b588901bc	-1.7098714113235474	50.46	14.0
b0d6247a-f3cd-4d60-bd97-83e44259abff	-1.6133781671524048	62.48	9.0
85fe09ec-1892-46d2-b1e1-2f639e128472	-1.8938572406768799	63.8	11.0
1ab56a91-f0fa-4626-9ce1-0b9c7ede7e3f	-0.9871925115585327	71.75	9.0
ee45a228-33fa-4cd6-ac94-e761a6046188	-0.7900351881980896	70.84	10.0
88a9abe7-e6c7-412c-b3f5-e0b5be2e5389	-1.1293131113052368	72.56	9.0
1b7faab4-f0f7-458d-89c6-0bc8407b6202	-2.437887668609619	39.26	14.0
3a523d2b-89d1-4dfc-8b38-ac5621bb8ffa	-2.1355552673339844	45.76	14.0
cd0dbfd4-fc67-4f6b-95af-71bbf893db0d	-2.55234432220459	35.37	15.0
7264f938-81ef-4945-836e-77dd79b79fc4	-2.726591110229492	33.54	18.0
c056f7b0-878a-4750-9a84-0e19f9225112	-2.7844796180725098	43.02	14.0
c5dfc251-8867-4e83-86f0-694ea96743b5	-2.739607334136963	43.12	16.0
16563463-5768-403f-8d17-0def43ed5015	-2.76172137260437	51.48	14.0
2c4cc5fb-2c50-4ef4-bf60-a0ce988dde64	-2.758334159851074	41.4	13.0
6d44efe0-1742-4ec0-acdb-f7e6a6f683b6	-2.7753987312316895	43.73	15.0
c0fce326-5b8d-4fe3-8159-52fba6a0971c	-2.7590789794921875	43.43	12.0
381decdd-e710-4a1e-8ede-157233aa4971	-2.7844796180725098	43.02	14.0
53ed2552-5b36-4a68-8820-5c3604840d35	-2.7525205612182617	43.53	16.0
f0a97272-e575-47ed-b649-5c91f01d5d7b	-2.69649076461792	43.63	15.0
bef578e4-daaa-46df-baad-89bc2af6895a	-2.848456859588623	43.22	14.0
2373beed-1f83-4cbb-9d40-07234dc46a4a	-2.7147789001464844	27.22	16.0
14bb5900-fd70-4bab-bbd4-797a8e514b06	-2.710672378540039	43.12	15.0
b6e142cc-8972-4561-99c5-3a7e902c2ab4	-2.7154042720794678	44.95	14.0
1285db10-3cd3-466d-8347-df86c4749be0	-2.763399600982666	43.22	16.0
20284655-d87e-4a6b-98ba-605848670009	-2.2000036239624023	66.67	8.0
7bb9a5ca-7666-4bd8-957f-3ed7b2356a01	-1.9166332483291626	66.88	11.0
812e0336-7233-4286-908e-fd00e35724f5	-1.973668098449707	41.09	13.0
ca3bd9f0-81cb-457f-bd90-ac9c517f5ed2	-1.938371181488037	66.67	11.0
c70b3798-33fc-4fb9-9c8b-375d9c673aec	-1.489693284034729	52.7	13.0
7207aea3-d653-444d-aae4-f89c8848638e	-1.5971801280975342	52.9	12.0
b57a4603-a5f8-4110-8cc1-1077fa2bb8a8	-1.5601295232772827	66.98	11.0
1c0eeeaf-5114-4bdc-bd56-30f811959851	-1.9800584316253662	67.79	9.0
b5002937-d621-44d4-b19d-97cc5389970e	-1.9809104204177856	68.3	9.0
500c4c40-1b95-4c2b-8119-a7e55eec3d21	-1.2426048517227173	66.67	8.0
49786ccb-6d5c-42ae-a8b2-8b8ba4882799	-1.276381492614746	82.75	7.0
2b2697ca-def2-484f-aa23-57491f6d8b49	-1.9666188955307007	85.79	7.0
3a0672d4-6b72-441d-a1c1-f9f66ce5cc9c	-1.3911569118499756	68.91	9.0
27062b3a-da4f-4e04-ba06-a9b2c9e37b5c	-1.9292763471603394	68.7	9.0
885f56f8-bf64-447c-a616-58093d75a054	-2.2301483154296875	64.44	10.0
17f9dfd0-2fb3-44f1-9cfa-fe3c3634e720	-1.4586142301559448	66.17	8.0
48683479-a008-44b0-9d64-63afdde773f8	-1.8287023305892944	56.89	10.0
a77be433-36e6-4f94-9d08-29f45ded4b8d	-1.7582343816757202	67.08	9.0
d7faa990-bfb2-4a69-9053-d3af71ddfa9d	-2.161473274230957	66.27	9.0
121ac056-5b9e-469e-8df3-b8a01b338032	-2.1067371368408203	65.86	13.0
34442dae-e060-4119-9e7b-f259e5b0bbf1	-1.2828038930892944	68.4	9.0
e6cf7f4e-f159-4051-ba78-504d3d488014	-1.998355746269226	50.57	15.0
8579337a-b65c-4114-a0a8-58e17058ee84	-1.8571549654006958	66.67	8.0
1176e762-b9fd-4b05-974b-9f579bac5ae0	-1.690255045890808	61.06	11.0
e1ff79a5-765b-4f89-b881-5d7c04f87d90	-1.973668098449707	41.09	13.0
ccceb3f7-5a57-4e67-973a-89269a1f9651	-1.8114516735076904	52.6	13.0
8a357c9a-3af4-4a7b-9d89-f8b8912e2991	-1.395702838897705	69.01	9.0
26c19d91-d550-40ff-a8ca-3242d4158b0e	-2.667757987976074	50.16	13.0
f110881b-c2e7-4f81-bc0c-82f554c2e853	-1.333817481994629	66.98	11.0
21225ae3-1567-43cb-8300-ca2460fbb186	-1.7372606992721558	69.11	9.0
83431b25-4600-4682-9fb8-0f761202db5b	-1.7037277221679688	65.05	12.0
819d449a-7698-47c1-9967-4c25c61f2cca	-1.8571549654006958	68.5	9.0
8d2b6fb2-fa3c-4c84-bc4c-0b85dcd2d411	-1.4664263725280762	66.88	11.0
42f70e9d-8bde-4118-9a68-a0e0998883b2	-1.6189680099487305	68.3	9.0
d6732aa8-3d21-4e34-bd1a-43019cae97ba	-1.5521873235702515	67.49	9.0
2a1b35d6-3b64-424a-be8d-4c76269d9804	-1.3941224813461304	62.61	8.0
d0fc43a8-74fa-4407-90f2-830c7fb447a6	-1.831156611442566	69.62	8.0
425102f5-94ec-4f00-9286-b14810623be3	-1.2331397533416748	70.02	9.0
b86e0dba-234c-40d0-81c1-87f27e6c9459	-1.5399202108383179	64.75	10.0
