docno,text,qid,query,score,rank,prompt,answer_number,weighted_position,num_answer_words,num_matching_words,model,is_natural_question,contains_only_query_words,query_prompt
chatgpt_68,"- Fatigue
- Difficulty walking or coordination problems
- Numbness or tingling in the limbs
- Muscle weakness
- Problems with balance and dizziness
- Blurred or double vision
- Problems with coordination and muscle control
- Slurred speech or difficulty swallowing
- Bowel or bladder dysfunction
- Cognitive problems, such as memory loss or difficulty concentrating
- Depression or mood swings
- Sexual dysfunction
- Heat sensitivity, which can worsen symptoms
- Pain or muscle spasms",68,List of multiple sclerosis symptoms,-9.270967483520508,157,question,4,0.7104072398190046,77,1,ChatGPT,False,False,"question
(query)"
chatgpt_68,"- Fatigue and weakness
- Difficulty with coordination and balance
- Numbness or tingling in the limbs
- Muscle spasms and stiffness
- Problems with speech and swallowing
- Vision problems, such as double vision or blurry vision
- Cognitive difficulties, including problems with memory and concentration
- Depression and mood changes
- Pain or discomfort, such as headaches or back pain
- Problems with bladder and bowel function
- Sexual dysfunction
- Tremors or uncontrollable shaking
- Heat sensitivity, where symptoms worsen in hot temperatures",68,List of multiple sclerosis symptoms,-9.195804595947266,157,q,10,0.7104072398190046,86,1,ChatGPT,False,False,"q
(query)"
chatgpt_68,"- Fatigue: Feeling excessively tired and lacking energy
- Numbness or tingling: Sensations of pins and needles, often in the limbs
- Muscle weakness: Difficulty in moving or controlling muscles
- Issues with coordination and balance: Problems with walking, clumsiness, or unsteady movements
- Problems with vision: Blurred or double vision, eye pain, or loss of vision
- Cognitive difficulties: Problems with memory, concentration, and problem-solving
- Difficulty speaking or slurred speech: Trouble articulating words or speaking clearly
- Pain and discomfort: Chronic pain, particularly in the muscles or joints
- Tremors or involuntary muscle movements: Shaking or twitching of the limbs or other body parts
- Emotional changes: Depression, anxiety, mood swings, or irritability
- Bowel or bladder problems: Difficulty controlling urination or bowel movements
- Sexual dysfunction: Impotence, decreased libido, or difficulty achieving orgasm
- Heat sensitivity: Worsening of symptoms when exposed to heat or hot temperatures
- Vertigo or dizziness: Sensation of spinning or feeling lightheaded
- Speech and swallowing difficulties: Trouble speaking clearly or swallowing food or liquids properly",68,List of multiple sclerosis symptoms,-8.781569480895996,152,q,5,0.6877828054298643,173,6,ChatGPT,False,False,"q
(query)"
chatgpt_68,"- Fatigue
- Numbness or tingling in the limbs
- Weakness or difficulty with coordination and balance
- Problems with walking or gait
- Muscle stiffness or spasms
- Tremors
- Problems with speech or swallowing
- Vision problems, such as blurred or double vision
- Dizziness or vertigo
- Problems with thinking, memory, or concentration
- Depression or mood changes
- Pain or sensitivity in the affected areas
- Sexual problems
- Bladder or bowel dysfunction
- Heat sensitivity, where symptoms worsen in hot weather or after hot showers or baths
- Sensory symptoms, such as a burning or itching sensation
- Difficulty with coordination and fine motor skills
- Difficulty with balance and coordination
- Problems with attention and concentration
- Difficulty with speech and swallowing
- Emotional changes, such as depression or irritability
- Problems with memory and cognitive function
- Difficulty with walking and balance
- Trouble with coordination and fine motor skills
- Numbness or tingling in the limbs
- Muscle weakness or stiffness
- Vision problems, such as double vision or blurred vision
- Fatigue and lack of energy
- Heat sensitivity, where symptoms worsen in hot weather or after hot showers or baths
- Bowel and bladder problems, such as incontinence or difficulty emptying the bladder completely
- Sexual dysfunction
- Pain or discomfort in the affected areas
- Difficulty with coordination and balance",68,List of multiple sclerosis symptoms,-8.794341087341309,152,question,9,0.6877828054298643,231,3,ChatGPT,False,False,"question
(query)"
chatgpt_68,"- Fatigue
- Difficulty walking or coordination problems
- Numbness or tingling in the limbs
- Muscle weakness or spasms
- Problems with balance and dizziness
- Blurred or double vision
- Slurred speech or difficulty swallowing
- Cognitive impairment or memory problems
- Emotional changes or mood swings
- Pain or discomfort
- Bladder or bowel problems
- Sexual dysfunction
- Heat sensitivity
- Tremors or involuntary movements",68,List of multiple sclerosis symptoms,-8.699295043945312,151,question,2,0.6832579185520362,69,0,ChatGPT,False,False,"question
(query)"
chatgpt_68,"1. Fatigue: Excessive tiredness and lack of energy.
2. Numbness or tingling: Sensations of pins and needles or numbness in the limbs, face, or body.
3. Weakness: Muscles may become weak or difficult to control, leading to difficulty with gripping objects, walking, or other physical activities.
4. Balance and coordination problems: Difficulty with balance, dizziness, and coordination issues.
5. Muscle spasms and stiffness: Involuntary muscle contractions, muscle tightness, and stiffness.
6. Vision problems: Blurred or double vision, eye pain, or loss of vision in one eye.
7. Cognitive difficulties: Problems with memory, attention, concentration, and decision-making.
8. Depression and anxiety: Emotional changes, including feelings of sadness, anxiety, and irritability.
9. Problems with speech and swallowing: Slurred speech, difficulty articulating words, and difficulty swallowing.
10. Bowel and bladder dysfunction: Incontinence, urgency, or difficulty with urination or bowel movements.
11. Sexual dysfunction: Impotence, decreased sex drive, or difficulties with orgasm.
12. Heat sensitivity: Increased symptoms when exposed to hot temperatures or during exercise.
13. Pain: Chronic pain, including headaches, facial pain, or nerve pain.
14. Tremors: Involuntary shaking or trembling in the limbs.
15. Sensitivity to touch: Increased sensitivity to touch or pain.
16. Difficulty with walking: Unsteady gait, stumbling, or difficulty walking in a straight line.
17. Speech problems: Slurred speech, difficulty finding words, or changes in voice tone.
18. Swallowing difficulties: Choking or coughing while eating or drinking.
19. Seizures: Uncontrolled electrical activity in the brain resulting in seizures.
20. Emotional changes: Mood swings, irritability, or emotional instability.",68,List of multiple sclerosis symptoms,-8.333916664123535,148,no_prompt,9,0.669683257918552,248,5,ChatGPT,False,False,"no_prompt
(query)"
chatgpt_68,"1. Fatigue: Feeling excessively tired and lacking energy.
2. Numbness or tingling: Sensations of pins and needles in various parts of the body.
3. Muscle weakness: Difficulty in moving limbs or performing tasks that require strength.
4. Balance and coordination problems: Unsteady gait and difficulty with fine motor skills.
5. Blurred vision: Loss of clarity or double vision.
6. Pain and spasms: Musculoskeletal pain and involuntary muscle contractions.
7. Cognitive changes: Difficulty with memory, attention, and problem-solving.
8. Bladder and bowel problems: Incontinence, frequent urination, or constipation.
9. Sexual dysfunction: Reduced libido, erectile dysfunction, or difficulty with arousal or orgasm.
10. Emotional changes: Depression, anxiety, irritability, or mood swings.
11. Heat sensitivity: Worsening of symptoms when exposed to heat or hot temperatures.
12. Speech difficulties: Slurred speech or difficulty articulating words.
13. Tremors: Involuntary shaking or trembling of the hands or other body parts.
14. Swallowing difficulties: Trouble swallowing food or liquids.
15. Itching or numbness: Sensations of itching or numbness in the skin.
16. Hearing loss: Partial or complete hearing loss in one or both ears.
17. Respiratory problems: Difficulty breathing or shortness of breath.
18. Dizziness and vertigo: Feeling lightheaded or experiencing a spinning sensation.
19. Reduced sense of taste or smell: Decreased ability to taste or smell.
20. Seizures: Uncontrolled electrical activity in the brain resulting in seizures.",68,List of multiple sclerosis symptoms,-8.5093412399292,148,no_prompt,5,0.669683257918552,221,9,ChatGPT,False,False,"no_prompt
(query)"
chatgpt_68,"- Fatigue
- Difficulty walking or coordination problems
- Numbness or tingling in the limbs
- Muscle weakness or spasms
- Problems with balance and coordination
- Blurred or double vision
- Problems with speech or swallowing
- Cognitive difficulties, such as memory loss or trouble concentrating
- Depression or mood swings
- Bowel or bladder problems
- Sexual dysfunction
- Heat sensitivity, which can worsen symptoms temporarily
- Tremors or uncontrollable shaking
- Vertigo or dizziness
- Pain or discomfort in the body.",68,List of multiple sclerosis symptoms,-8.190292358398438,142,q,2,0.6425339366515838,84,1,ChatGPT,False,False,"q
(query)"
chatgpt_68,"- Fatigue and weakness
- Numbness or tingling in the limbs
- Muscle spasms and stiffness
- Difficulty walking or maintaining balance
- Problems with coordination and fine motor skills
- Vision problems, such as blurred or double vision
- Problems with speech and swallowing
- Cognitive difficulties, such as trouble with memory and concentration
- Emotional changes, including depression and mood swings
- Pain, often described as aching or burning sensations
- Bladder and bowel problems
- Sexual dysfunction
- Heat sensitivity, where symptoms worsen in hot weather or after physical activity
- Tremors or uncontrollable shaking
- Difficulty with swallowing or chewing",68,List of multiple sclerosis symptoms,-7.656305313110352,136,q,4,0.6153846153846154,104,1,ChatGPT,False,False,"q
(query)"
chatgpt_68,"- Fatigue and lack of energy
- Difficulty walking or maintaining balance
- Muscle weakness or spasticity
- Numbness or tingling in the limbs
- Vision problems, such as blurred or double vision
- Vertigo or dizziness
- Problems with coordination and fine motor skills
- Difficulty speaking or slurred speech
- Cognitive issues, such as difficulty concentrating or memory problems
- Mood swings or depression
- Bladder or bowel problems
- Sexual dysfunction
- Heat sensitivity, which can worsen symptoms temporarily
- Pain or discomfort, including headaches or muscle aches
- Tremors or involuntary muscle movements",68,List of multiple sclerosis symptoms,-6.576451778411865,132,no_prompt,4,0.5972850678733032,97,2,ChatGPT,False,False,"no_prompt
(query)"
